index	value
1	15641
2	15634
3	15635
4	15635
5	15886
6	16134
7	15881
8	15881
9	15881
10	16134
11	15630
12	15633
13	15638
14	15645
15	15650
16	15657
17	15394
18	15389
19	15638
20	15638
21	15635
22	15886
23	15885
24	15892
25	16154
26	15901
27	15902
28	15902
29	15902
30	15902
31	15651
32	15651
33	15902
34	16158
35	16155
36	16155
37	16155
38	15905
39	16154
40	15901
41	15650
42	15641
43	15650
44	15650
45	15650
46	15650
47	15641
48	15642
49	15641
50	15650
51	15650
52	15650
53	15634
54	15634
55	15892
56	15641
57	15641
58	15641
59	15901
60	15902
61	15641
62	15641
63	15642
64	15635
65	15885
66	15634
67	15629
68	15634
69	15386
70	15634
71	15385
72	15634
73	15385
74	15635
75	15642
76	15641
77	15885
78	15885
79	15885
80	15885
81	15885
82	15634
83	15885
84	15885
