index	value
1	14747
2	14730
3	14473
4	14721
5	14750
6	14750
7	14516
8	14766
9	14757
10	14757
11	15020
12	14766
13	14730
14	14747
15	14990
16	14981
17	14757
18	14714
19	14714
20	14731
21	14714
22	14952
23	14709
24	14952
25	14952
26	15214
27	15214
28	15197
29	14988
30	14993
31	15202
32	14721
33	14973
34	14973
35	14747
36	14747
37	14730
38	14730
39	14766
40	14747
41	14747
42	14738
43	14714
44	14957
45	14709
46	14714
47	14714
48	14714
49	14714
50	14714
51	14973
52	14747
53	14730
54	14973
55	14990
56	14730
57	14973
58	14973
59	14730
60	14730
61	14730
62	14730
63	14747
64	14747
65	14730
66	14758
67	14777
68	14766
69	14747
70	14990
71	15001
72	14990
73	14730
74	14721
75	14706
76	14721
77	14721
78	14731
79	14731
80	14750
81	14731
82	14750
83	14731
84	14714
85	14721
86	14721
87	14489
88	14730
89	14747
90	14506
91	14506
92	14766
93	14525
94	14766
95	14747
96	14730
97	14715
98	14730
99	14730
100	14489
101	14489
102	14500
103	14267
104	14525
105	14286
106	14766
107	14766
108	14973
109	15218
110	15218
111	15209
112	14949
113	14964
114	14730
115	14721
116	14738
117	14738
118	14757
119	14766
120	14747
121	14747
122	14757
123	14497
124	14489
125	14489
126	14730
127	14730
128	14747
129	14738
130	14721
131	14738
132	14757
133	14766
134	14766
135	14778
136	14766
137	14787
138	14766
139	14757
140	14738
141	14721
142	14721
143	14730
144	14721
145	14721
146	14973
147	14747
148	14747
149	14747
150	14730
151	14730
152	14730
153	14758
154	14730
155	14730
156	14730
157	14730
158	14730
159	14730
160	14730
161	14730
162	14741
163	14984
164	14984
165	15001
166	14990
167	15226
168	15000
169	14974
170	14726
171	14709
172	14709
173	14709
174	14473
175	14473
176	14706
177	14730
178	14721
179	14721
180	14731
181	14731
182	14750
183	15000
184	14738
185	15000
186	15226
187	15209
188	15202
189	14957
190	15182
191	14942
192	15169
193	15174
194	14957
195	15209
196	15482
197	15482
198	15265
199	15235
200	15254
201	15020
202	15235
203	15001
204	14747
205	14990
206	15009
207	15218
208	15235
209	14990
210	15226
211	15209
212	15456
213	14981
214	14974
215	14993
216	14993
217	14974
218	14738
219	14750
220	14757
221	14747
222	14747
223	14730
224	14747
225	14747
226	14738
227	14747
228	14480
229	14473
230	14714
231	14480
232	14721
233	14721
234	14721
235	14721
236	15203
237	15203
238	14973
239	14990
240	14990
241	14973
242	14990
243	14990
244	14766
245	14990
246	14990
247	15009
248	15009
249	14747
250	14747
251	14747
252	14721
253	14738
254	14714
255	14709
256	14709
257	14969
258	14974
259	14745
260	14993
261	15226
262	15226
263	14981
264	15000
265	14738
266	14747
267	14730
268	14730
269	14506
270	14757
271	14738
272	14721
273	14730
274	14714
275	14757
276	14731
277	14974
278	14721
279	14738
280	14721
281	14747
282	14747
283	14973
284	14730
285	14730
286	14730
287	14730
288	14738
289	14731
290	14726
291	14745
292	14714
293	14957
294	15202
295	14964
296	14964
297	15194
298	14973
299	14964
300	14981
301	15000
302	14757
303	14714
304	14738
305	14747
306	14747
307	14738
308	14714
309	14721
310	14714
311	14721
312	14964
313	14974
314	15219
315	15235
316	15009
317	14990
318	14766
319	14747
320	14766
321	14747
322	14730
323	14747
324	14730
325	14730
326	14766
327	14747
328	14747
329	14747
330	14747
331	14730
332	14738
333	14747
334	14747
335	14747
336	14738
337	14757
338	14738
339	14757
340	14731
341	14952
342	14731
343	14745
344	14750
345	14731
346	14731
347	14497
348	14506
349	14506
350	14747
351	14489
352	14506
353	14766
354	14747
355	14766
356	14766
357	14778
358	14757
359	14787
360	14766
361	14766
362	14766
363	14506
364	14506
365	14489
366	14497
367	14721
368	14747
369	14509
370	14509
371	14757
372	14757
373	14766
374	14766
375	14766
376	14766
377	14747
378	14766
379	14766
380	14757
381	14757
382	14757
383	14738
384	14721
385	14721
386	14730
387	14721
388	14715
389	14693
390	14693
391	14706
392	14714
393	14949
394	15181
395	15428
396	15441
397	15218
398	15465
399	15456
400	15456
401	15209
402	15000
403	15000
404	14738
405	14738
406	14721
407	14489
408	14506
409	14489
410	14766
411	14766
412	15009
413	15009
414	15009
415	15009
416	14766
417	14766
418	14738
419	14738
420	14766
421	14516
422	14757
423	14738
424	14731
425	14738
426	14738
427	14731
428	14731
429	14721
430	14714
431	14714
432	14473
433	14714
434	14731
435	14731
436	14731
437	14974
438	14731
439	14993
440	15238
441	15245
442	15245
443	15009
444	15000
445	14747
446	14730
447	14730
448	14730
449	14730
450	14730
451	14973
452	14715
453	14730
454	14973
455	14973
456	14730
457	14730
458	14990
459	14981
460	14990
461	14981
462	14981
463	14738
464	15000
465	15000
466	14738
467	14738
468	14721
469	14721
470	14721
471	14721
472	14730
473	14489
474	14747
475	14766
476	14766
477	14766
478	14766
479	14747
480	14730
481	14730
482	14730
483	14730
484	14715
485	14715
486	14702
487	14706
488	14721
489	14721
490	14721
491	14738
492	14757
493	14757
494	15000
495	15000
496	15000
497	15000
498	14993
499	15000
500	14993
501	14993
502	14993
503	14757
504	14738
505	14738
506	14766
507	14766
508	14766
509	14525
510	14747
511	14757
512	14757
513	14757
514	14757
515	14757
516	14757
517	14738
518	14757
519	14738
520	14738
521	14730
522	14730
523	14721
524	14730
525	14747
526	14730
527	14766
528	14766
529	14766
530	14766
531	14747
532	14738
533	14747
534	14747
535	14730
536	14489
537	14489
538	14489
539	14741
540	14741
541	14489
542	14489
543	14500
544	14500
545	14758
546	14730
547	14766
548	14747
549	14747
550	14747
551	14747
552	14747
553	14730
554	14990
555	14730
556	14730
557	14973
558	14973
559	14973
560	14964
561	14957
562	14957
563	14957
564	14993
565	14731
566	14731
567	14731
568	14757
569	14757
570	14738
571	14714
572	14721
573	14714
574	14714
575	14957
576	14957
577	14981
578	15000
579	15000
580	15009
581	15009
582	14766
583	15000
584	14990
585	14990
586	14990
587	14747
588	14730
589	14730
590	14730
591	14730
592	14747
593	14747
594	14738
595	14747
596	14747
597	15009
598	15245
599	15000
600	15009
601	15009
602	15009
603	15030
604	15030
605	14787
606	14766
607	14766
608	14766
609	14766
610	14766
611	14747
612	14766
613	14730
614	14747
615	15009
616	14738
617	14747
618	14730
619	14990
620	14964
621	14981
622	14721
623	14706
624	14693
625	14706
626	14721
627	14721
628	14721
629	14721
630	14747
631	14757
632	14516
633	14721
634	14480
635	14721
636	14721
637	14714
638	14714
639	14714
640	14721
641	14714
642	14738
643	14721
644	14747
645	14747
646	14738
647	14747
648	14730
649	14747
650	14766
651	14766
652	14766
653	14766
654	14766
655	14766
656	14747
657	14990
658	15235
659	15009
660	15235
661	15254
662	15254
663	15254
664	15030
665	15009
666	14766
667	15009
668	15009
669	15009
670	14766
671	15009
672	15000
673	14993
674	15219
675	14993
676	15000
677	15009
678	15030
679	14787
680	14787
681	14777
682	14787
683	14766
684	14766
685	14766
686	14766
687	14973
688	14990
689	14747
690	14747
691	14747
692	14747
693	14747
694	14730
695	14747
696	14747
697	14747
698	14747
699	14730
700	14730
701	14730
702	14738
703	14721
704	14730
705	14730
706	14990
707	14747
708	14747
709	15009
710	14990
711	15020
712	15009
713	15009
714	15009
715	15254
716	15501
717	15245
718	15485
719	15466
720	15466
721	15449
722	15449
723	15187
724	15209
725	15194
726	15209
727	15209
728	15218
729	15235
730	15235
731	15235
732	15235
733	15209
734	15473
735	15482
736	15473
737	15226
738	15254
739	15254
740	15275
741	15275
742	15298
743	15309
744	15275
745	15254
746	15501
747	15235
748	15235
749	14990
750	14990
751	14973
752	15235
753	15226
754	15000
755	15000
756	14738
757	14981
758	14957
759	14964
760	14714
761	14721
762	14964
763	14964
764	14964
765	14964
766	14981
767	14981
768	14747
769	14747
770	14730
771	14721
772	14964
773	14957
774	14964
775	14964
776	15202
777	14957
778	14957
779	14957
780	14964
781	14721
782	14738
783	14738
784	14766
785	14747
786	14766
787	14747
788	14766
789	14766
790	14766
791	14747
792	14964
793	14747
794	14730
795	14747
796	14766
797	14730
798	14730
799	14730
800	14747
801	14730
802	14758
803	14741
804	14741
805	14754
806	14741
807	14747
808	14766
809	14747
810	15000
811	15009
812	15226
813	15238
814	14993
815	14993
816	14988
817	14771
818	14771
819	14771
820	14778
821	14757
822	14747
823	14766
824	15000
825	15254
826	15235
827	15235
828	15009
829	15254
830	15009
831	15009
832	14990
833	15000
834	15009
835	14757
836	14757
837	14738
838	14757
839	14766
840	14766
841	14758
