index	value
640	17477
641	17742
642	17729
643	17461
644	17474
645	17197
646	17225
647	17225
648	17225
649	17225
650	17226
651	17492
652	17492
653	17492
654	17497
655	17482
656	17482
657	17464
658	17464
659	17729
660	17464
661	17742
662	17739
663	17754
664	17754
665	17757
666	17492
667	17492
668	17489
669	17211
670	17226
671	17211
672	17211
673	17225
674	17226
675	17226
676	17488
677	17225
678	17211
679	17489
680	17489
681	17757
682	17492
683	17757
684	17234
685	17482
686	17757
687	17492
688	17489
689	17489
690	17489
691	17489
692	17488
693	17488
694	17226
695	17489
696	17757
697	17757
698	17229
699	17214
700	17492
701	17757
702	17489
703	17739
704	17726
705	17725
706	18009
707	17742
708	17729
709	17729
710	17729
711	17742
712	17477
713	17214
714	17474
715	17742
716	17477
717	17214
718	17234
719	17234
720	17497
721	17482
722	17234
723	17219
724	17234
725	17477
726	17742
727	17757
728	17489
729	17739
730	17754
731	17739
732	17739
733	17742
734	17474
735	17461
736	17461
737	17489
738	17489
739	17474
740	17474
741	17464
742	17729
743	17729
744	17453
745	17453
746	17453
747	17453
748	17453
749	17464
750	17729
751	17453
752	17718
753	17725
754	17726
755	17715
756	17187
757	17186
758	17210
759	17211
760	17211
761	17214
762	17474
763	17474
764	17753
765	17757
766	17742
767	17739
768	17474
769	17473
770	17473
771	17225
772	17473
773	17460
774	17473
775	17473
776	17753
777	17488
778	17489
779	17473
780	17488
781	17488
782	17473
783	17474
784	17474
785	17473
786	17739
787	17739
788	17754
789	17754
790	17754
791	17757
792	17757
793	17757
794	17492
795	17757
796	17757
797	17726
798	17474
799	17742
800	17742
801	17742
802	17742
803	17477
804	17492
805	17492
806	17492
807	17229
808	17246
809	17246
810	17246
811	17229
812	17229
813	17489
814	17489
815	17754
816	17753
817	17738
818	17738
819	17738
820	17725
821	17461
822	17473
823	17210
824	17211
825	17226
826	17229
827	17229
828	17229
829	17492
830	17226
831	17492
832	17229
833	17226
834	17489
835	17489
836	17488
837	17226
838	17474
839	17211
840	17229
841	17226
842	17489
843	17226
844	17488
845	17753
846	17488
847	17753
848	17753
849	17753
850	17738
851	17753
852	17754
853	17489
854	17757
855	17754
856	17489
857	17225
858	17225
859	17226
860	17226
861	17492
862	17492
863	17492
864	17757
865	17757
866	17492
867	17474
868	17489
869	17753
870	17488
871	17488
872	17225
873	17489
874	17226
875	17226
876	17489
877	17492
878	17474
879	17754
880	17753
881	17738
882	18005
883	17753
884	17753
885	17738
886	17738
887	17739
888	17738
889	17753
890	17488
891	17489
892	17226
893	17226
894	17210
895	16949
896	16949
897	17210
898	17225
899	17225
900	17225
901	17211
902	17489
903	17757
904	17489
905	17477
906	17477
907	17757
908	17754
909	17754
910	17753
911	17225
912	17488
913	17225
914	17211
915	17210
916	17210
917	17210
918	17210
919	17473
920	17461
921	17473
922	17473
923	17473
924	17738
925	17473
926	17488
927	17488
928	17488
929	17488
930	17488
931	17473
932	17211
933	17489
934	17473
