index	value
1	17181
2	17434
3	17434
4	17214
5	16953
6	16953
7	16953
8	16953
9	17214
10	17201
11	16913
12	16920
13	16913
14	16913
15	16910
16	16910
17	16917
18	16917
19	16917
20	16917
21	16917
22	17187
23	17177
24	17178
25	16910
26	16910
27	17170
28	17433
29	17434
30	17171
31	17171
32	17171
33	17178
34	17181
35	16925
36	16925
37	16925
38	17181
39	17437
40	17434
41	17437
42	17698
43	17698
44	17698
45	17698
46	17441
47	17444
48	17437
49	17174
50	17174
51	17174
52	17174
53	17174
54	17174
55	17174
56	17434
57	17444
58	17178
59	17187
60	17450
61	17450
62	17440
63	17178
64	17178
65	17178
66	17444
67	17450
68	17450
69	17187
70	17187
71	17449
72	17449
73	17186
74	17187
75	17187
76	16926
77	17186
78	17186
79	17187
80	17186
81	17453
82	17190
83	17450
84	17453
85	17453
86	17444
87	16918
88	17181
89	16925
90	17179
91	16918
92	16918
93	16920
94	17181
95	17440
96	17178
97	17441
98	17440
99	17441
100	17715
101	17706
102	17450
103	17449
104	17450
105	17187
106	16929
107	16926
108	16926
109	16929
110	16926
111	16925
112	16925
113	17187
114	17464
115	17201
116	17464
117	17450
118	17187
119	17187
120	17186
121	16913
122	17171
123	16910
124	16913
125	17174
126	16913
127	16913
128	16913
129	16917
130	16920
131	17449
132	17441
133	17706
134	17718
135	17718
136	17718
137	17444
138	17453
139	17190
140	17450
141	17186
142	17178
143	16920
144	17178
145	17441
146	17440
147	17437
148	17444
149	17181
150	17178
151	17177
152	17444
153	17190
154	16929
155	16926
156	17186
157	17453
158	17453
159	17187
160	17187
161	17450
162	17186
163	17187
164	17181
165	16920
166	17181
167	17181
168	17178
169	17186
170	17453
171	17450
172	17450
173	17450
174	17190
175	17190
176	17190
177	17181
178	17181
179	17181
180	17444
181	17444
182	17441
183	17706
184	17698
185	17434
186	17434
187	17699
188	17698
189	17699
190	17433
191	17434
192	17441
193	17450
194	17449
195	17450
196	17190
197	17187
198	17187
199	17450
200	17181
201	17171
202	16920
203	17171
204	17177
205	17440
206	17177
207	17440
208	17450
209	17449
210	17187
211	16929
212	17178
213	17441
214	17441
215	17441
216	17178
217	17187
218	17190
219	17450
220	17190
221	17190
222	16934
223	16940
224	16929
225	17190
226	17181
227	17190
228	17178
229	17441
230	17434
231	17433
232	17434
233	17441
234	17174
235	17174
236	17186
237	17186
238	17186
239	17456
240	17458
241	17449
242	17453
243	17444
244	17190
245	17441
246	17434
247	17440
248	17440
249	17170
250	17171
251	17177
252	17171
253	16920
254	16920
255	16920
256	16920
257	17444
258	17441
259	17441
260	17699
261	17699
262	17706
263	17706
264	17178
265	16926
266	16926
267	16925
268	16916
269	16925
270	16917
271	17177
272	17177
273	17441
274	17450
275	17178
276	17187
277	16926
278	16917
279	16926
280	17178
281	17177
282	17170
283	17434
284	17434
285	17434
286	17434
287	17434
288	16910
289	16917
290	16917
291	16917
292	16917
293	17178
294	17187
295	17186
296	17450
297	17706
298	17706
299	17706
300	17441
301	17450
302	17444
