index	value
1	49053
2	49082
3	48641
4	49075
5	48173
6	48182
7	48605
8	48193
9	48618
10	48155
11	48166
12	48173
13	48634
14	49534
15	49545
16	49950
17	49489
18	49102
19	49545
20	49576
21	49545
22	49082
23	49091
24	49062
25	49091
26	49516
27	49073
28	49102
29	49516
30	49505
31	49505
32	49091
33	48632
34	49073
35	49059
36	49489
37	49478
38	49525
39	49053
40	49062
41	49026
42	48593
43	49059
44	49046
45	49961
46	49505
47	49505
48	49496
49	49082
50	49075
51	48612
52	48621
53	49010
54	49035
55	49091
56	49133
57	48253
58	48661
59	48202
60	48634
61	48202
62	48202
63	48621
64	49046
65	49974
66	49934
67	50394
68	49950
69	49053
70	49053
71	48641
72	48650
73	48612
74	48681
75	48692
76	48692
77	48749
78	48738
79	49102
80	49086
81	49059
82	49034
83	49086
84	49086
85	49529
86	49505
87	49035
88	49053
89	48612
90	49091
91	48692
92	48725
93	48266
94	48206
95	48618
96	49010
97	49053
98	49082
99	49113
100	48705
101	48681
102	49122
103	48650
104	49505
105	49062
106	48634
107	48698
108	48672
109	48665
110	49091
111	49462
112	49907
113	49854
114	49478
115	49489
116	49091
117	49102
118	48211
119	48202
120	48182
121	48173
122	48161
123	47709
124	47354
125	47784
126	48226
127	47829
128	49073
129	48093
130	47745
131	47685
132	46841
133	48581
134	49630
135	49549
136	49574
137	48674
138	48621
139	48594
140	48645
141	49062
142	49516
143	49516
144	49001
145	48594
146	48661
147	49133
148	49146
149	49113
150	49046
151	49041
152	49496
153	49091
154	48672
155	48705
156	48235
157	49115
158	49086
159	44204
160	48369
161	48420
162	49389
163	50270
164	49989
165	49544
166	49556
167	49113
168	49106
169	49518
170	49106
171	49101
172	49098
173	48693
174	48698
175	47796
176	48275
177	47805
178	48275
179	49133
180	49496
181	49525
182	49518
183	49101
184	48705
185	48650
186	49102
187	48674
188	49086
189	48632
190	48632
191	49102
192	48650
193	49082
194	49082
195	49082
196	49014
197	48660
198	49082
199	49518
200	49556
201	49898
202	49530
203	49473
204	48926
205	48365
206	49046
207	49091
208	49082
209	49053
210	49035
211	49010
212	49021
213	48570
214	48618
215	48193
216	48211
217	48259
218	48221
219	49155
220	49155
221	49624
222	49609
223	49098
224	50843
225	50805
226	50818
227	49484
228	49113
229	48698
230	48706
231	48326
232	48299
233	48690
234	49059
235	49929
236	49899
237	53354
238	60518
239	63301
240	52083
241	54174
242	47601
243	48317
244	49122
245	48286
246	48681
247	48641
248	49102
249	48612
250	48605
251	48612
252	48166
253	48612
254	48155
255	48632
256	48632
257	48250
258	49133
259	49576
260	49598
261	49565
262	49576
263	49133
264	49115
265	49102
266	49102
267	49035
268	49073
269	48632
270	48632
271	48661
272	49082
273	49525
274	49082
275	49082
276	49073
277	48681
278	49102
279	48632
280	49086
281	49086
282	49073
283	49115
284	48632
285	48605
286	48155
287	48146
288	48233
289	49122
290	49122
291	49102
292	49073
293	48193
294	48206
295	48222
296	48650
297	48661
298	49102
299	49102
300	48692
301	48692
302	48692
303	49122
304	49102
305	49102
306	49102
307	48594
308	48569
309	48560
310	48585
311	48612
312	49053
313	49525
314	49496
315	49505
316	49091
317	48632
318	48645
319	48193
320	48211
321	48233
322	48226
323	48681
324	49091
325	48641
326	49102
327	49122
328	49565
329	49589
330	49549
331	49075
332	48660
333	48641
334	48211
335	49053
336	48211
337	47774
338	48211
339	47805
340	48211
341	48202
342	48569
343	48226
344	48190
345	49577
346	48585
347	49166
348	49046
349	49059
350	48660
351	49082
352	49174
353	48693
354	49534
355	49963
356	50381
357	50885
358	50875
359	50514
360	50472
361	50541
362	51779
363	52249
364	52234
365	53108
366	52330
367	57061
368	49349
369	48954
370	38129
371	47233
372	55733
373	56210
374	56837
375	57509
376	59925
377	59468
378	60290
379	57771
380	52038
381	47246
382	41178
383	29525
384	24260
385	22833
386	21437
387	26354
388	30761
389	35442
390	40913
391	43211
392	44704
393	45721
394	45318
395	43505
396	42859
397	41344
398	39505
399	39254
400	37430
401	44645
402	45421
403	44195
404	46409
405	39041
406	36765
407	37246
408	34608
409	35917
410	37706
411	38667
412	40922
413	42414
414	43924
415	44545
416	44770
417	42842
418	43546
419	43689
420	41676
421	41796
422	40292
423	39674
424	40289
425	41737
426	42905
427	43157
428	43941
429	43531
430	37974
431	41814
432	38970
433	41729
434	44308
435	38561
436	38942
437	41368
438	42874
439	46973
440	49236
441	48537
442	47108
443	46251
444	43604
445	42930
446	45314
447	46998
448	47894
449	43830
450	41370
451	39950
452	37907
453	42587
454	44105
455	43861
456	44021
457	42059
458	41181
459	46029
460	49326
461	46986
462	45192
463	43254
464	44724
465	42229
466	43589
467	45688
468	44643
469	44172
470	43973
471	40301
472	38797
473	41859
474	42841
475	43370
476	47258
477	45438
478	47500
479	46606
480	47107
481	46131
482	44451
483	43866
484	43630
485	43433
486	44342
487	43691
488	42598
489	41286
490	40497
491	40229
492	40496
493	41969
494	43630
495	43553
496	44878
497	44099
498	44469
499	45285
500	45576
501	45861
502	44797
503	43496
504	41921
505	42081
506	43833
507	44658
508	46430
509	47018
510	46102
511	45326
512	43881
513	42435
514	40908
515	39398
516	41077
517	42045
518	44228
519	47209
520	45291
521	45825
522	45857
523	42792
524	42745
525	40683
526	39721
527	40169
528	38584
529	37876
530	38754
531	38430
532	37741
533	36821
534	35449
535	36238
536	37283
537	38092
538	41179
539	40971
540	38474
541	35859
542	35800
543	38440
544	40954
545	42229
546	40610
547	38034
548	35604
549	34398
550	33947
551	34734
552	36209
553	36553
554	36501
555	35250
556	32822
557	33141
558	32990
559	34060
560	35350
561	35235
562	35235
563	34002
